s,t
0,0
0,1
0,20
0,21
28,126
28,127
28,128
28,129
28,131
28,146
28,148
28,149
28,150
28,151
11,162
11,163
11,165
28,168
28,170
28,171
11,182
11,183
11,184
11,185
3,192
3,193
3,194
3,195
3,196
3,197
13,230
13,231
13,233
7,236
7,237
7,239
13,250
13,251
13,252
13,253
13,255
7,256
7,257
7,258
7,259
13,270
13,272
13,273
13,274
13,275
29,340
29,341
29,343
29,360
29,361
29,362
29,363
0,401
24,488
24,490
24,491
24,510
11,602
11,603
11,605
3,612
3,613
3,614
3,615
3,616
3,617
11,622
11,624
11,625
19,630
19,631
3,632
19,633
3,634
3,635
3,636
3,637
19,650
19,652
19,653
1,700
1,701
1,703
1,720
1,721
1,722
1,723
0,800
0,801
0,802
0,803
0,820
0,822
0,823
17,906
17,907
17,909
1,916
1,917
1,918
1,919
17,926
17,927
17,928
17,929
1,936
1,938
1,939
17,946
17,948
17,949
25,972
25,973
29,974
29,975
29,977
25,992
29,994
29,995
29,996
29,997
18,1124
18,1125
18,1126
18,1127
18,1129
18,1144
18,1145
18,1146
18,1147
18,1148
18,1149
18,1164
18,1166
18,1167
18,1168
18,1169
